"","body","heart","mind"
"1",-0.104256268345014,-0.0851945361250121,-0.054777614300337
"2",-0.157762756490718,-0.0205394932655599,0.120933684357007
"3",-0.0939996782493323,-0.0421079524171478,0.0197874870224041
"4",-0.0838647949711154,-0.080538831132709,0.0540827489879752
"5",-0.0299773998818213,-0.117427480645758,-0.0220713643964072
"6",-0.13526043309258,-0.0457214729782597,0.047618261755756
"7",-0.0686325550500608,-0.0809812094047914,-0.0202172055088291
"8",-0.100651043125127,-0.0659758979005482,-0.0379519686884331
"9",-0.0616306017193155,-0.0905057680693146,0.0539851315820172
"10",-0.0118637504052617,-0.0363754676562952,-0.107044353862444
"11",-0.0518646542953899,-0.010841900610241,-0.138843860250378
"12",-0.0475881900956714,-0.0661091703815063,0.0149536511171239
"13",-0.0667443533637737,-0.0560585395049052,-0.00486859808419443
"14",-0.103015675696857,0.0680586981624365,-0.0588009009098191
"15",-0.0345910895762118,-0.0203231208002443,-0.00893983618266925
"16",-0.00322360656803183,-0.0130413742245553,-0.108920182186233
"17",0.00389504249261752,-0.0546046595223569,-0.034313875665048
"18",-0.0838296941866492,-0.0143687027320393,0.0536159761464844
"19",-0.024986721467864,0.0067554711925657,-0.0581413566397225
"20",-0.0157973530568669,-0.0181736916490842,-0.0594255446526425
"21",-0.0496047535708134,-0.00324010424266263,-0.0785167738955161
"22",-0.0722004281477848,-0.0296876546858736,-0.0359568312261593
"23",-0.120638179931079,-0.0369785521200715,0.0764608683326308
"24",-0.0552089622239218,-0.054079914762438,-0.0613984061921257
"25",-0.0747450477504522,-0.070078319662642,0.0461852661529686
"26",-0.069404385717129,0.00744686921013049,0.0238459592405406
"27",-0.0737505387805177,-0.0869191591504992,0.00642819194373639
"28",-0.0738738055019311,0.0123822594789127,0.0632259783686991
"29",-0.0874891524413249,0.0484964981506522,0.01370765174701
"30",-0.0639295574572055,-0.0280555869156726,0.0254618978062646
"31",-0.0770387772612759,-0.0468051345943989,0.0359504676457566
"32",-0.0613006841029294,0.0295069209590305,0.0609035255944572
"33",-0.0505627534208662,0.000940970469896607,-0.0120933852934037
"34",-0.0443092809304433,0.0555372985219547,0.0703097330861989
"35",-0.015544799161843,-0.0425374962286098,0.0132604687115822
"36",-0.0521356854347922,0.0679104067042069,0.0365402720258973
"37",0.0123671337825092,-0.0538728632219946,0.0285226909396689
"38",-0.0183178606803078,0.00606354286285814,-0.00168231060223217
"39",0.00950370546469326,-0.00261028874078001,0.0135881109350433
"40",0.00443188967580432,-0.0511098201290783,0.034125994008556
