"","items","1","2","3"
"1","working toward a goal",0.334256268345014,0.495194536125012,0.624777614300337
"2","recognizing others",0.587762756490718,0.40053949326556,0.469066315642993
"3","making choices",0.473999678249332,0.412107952417148,0.650212512977596
"4","seeing things",0.643864794971115,0.210538831132709,0.615917251012025
"5","perceiving depth",0.319977399881821,0.437427480645758,0.702071364396407
"6","remembering things",0.39526043309258,0.45572147297826,0.662381738244244
"7","communicating",0.418632555050061,0.380981209404791,0.730217205508829
"8","sensing temperatures",0.500651043125127,0.125975897900548,0.747951968688433
"9","detecting sounds",0.511630601719316,0.170505768069315,0.696014868417983
"10","doing computations",-0.398136249594738,0.546375467656295,0.497044353862444
"11","being self-aware",0.43186465429539,0.610841900610241,0.488843860250378
"12","feeling depressed",0.567588190095671,0.686109170381506,0.215046348882876
"13","reasoning about things",0.236744353363774,0.716058539504905,0.484868598084194
"14","exercising self-restraint",0.343015675696857,0.711941301837564,0.368800900909819
"15","understanding feelings",0.364591089576212,0.740323120800244,0.308939836182669
"16","experiencing pride",0.433223606568032,0.753041374224555,0.308920182186233
"17","feeling disrespected",0.296104957507382,0.834604659522357,0.214313875665048
"18","telling right from wrong",0.253829694186649,0.824368702732039,0.196384023853516
"19","feeling embarrassed",0.314986721467864,0.813244528807434,0.148141356639723
"20","experiencing guilt",0.325797353056867,0.838173691649084,0.189425544652642
"21","holding beliefs",0.239604753570813,0.833240104242663,0.218516773895516
"22","having intentions",0.562200428147785,0.499687654685874,0.475956831226159
"23","detecting odors",0.700638179931079,0.256978552120072,0.503539131667369
"24","having free will",0.655208962223922,0.474079914762438,0.441398406192126
"25","having thoughts",0.674745047750452,0.560078319662642,0.283814733847031
"26","having a personality",0.709404385717129,0.51255313078987,0.306154040759459
"27","being conscious",0.723750538780518,0.436919159150499,0.373571808056264
"28","feeling love",0.723873805501931,0.547617740521087,0.116774021631301
"29","getting angry",0.767489152441325,0.411503501849348,0.29629234825299
"30","having desires",0.753929557457205,0.458055586915673,0.314538102193735
"31","feeling nauseated",0.777038777261276,0.446805134594399,0.234049532354243
"32","experiencing joy",0.781300684102929,0.48049307904097,0.189096474405543
"33","feeling safe",0.790562753420866,0.319059029530103,0.372093385293404
"34","feeling happy",0.784309280930443,0.424462701478045,0.159690266913801
"35","feeling calm",0.765544799161843,0.39253749622861,0.306739531288418
"36","experiencing pleasure",0.842135685434792,0.282089593295793,0.313459727974103
"37","experiencing fear",0.817632866217491,0.253872863221995,0.341477309060331
"38","getting hungry",0.858317860680308,0.103936457137142,0.331682310602232
"39","feeling tired",0.840496294535307,0.21261028874078,0.346411889064957
"40","experiencing pain",0.855568110324196,0.191109820129078,0.295874005991444
